type,name,label,label::Arabic,hint,hint::Arabic,appearance,required,calculation,constraint,constraint_message,constraint_message::Arabic,relevant,default,repeat_count,choice_filter,
start,start,start,???????,,,,,,,,,,,,,
end,end,end,???????,,,,,,,,,,,,,
today,today,today,????? ?????,,,,,,,,,,,,,
deviceid,deviceid,deviceid,??? ??????,,,,,,,,,,,,,
subscriberid,subscriberid,subscriberid,??? ???????,,,,,,,,,,,,,
imei,imei,SIM serial,??? ????? ???????,,,,,,,,,,,,,
phonenumber,phonenumber,phone number,??? ???????,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
begin group,G0_Metadata,0.Metadata,0. ???????? ???????,,,,,,,,,,,,,
date,Q0_1_Date_of_visit,0.1 Date of visit:,0.1 ????? ???????:,,,,yes,,.<=${today},,,,,,,
integer,Q0_2_Enumerator_name_code,0.2 Enter enumerator code:,0.2 ???? ??? ???? ????????:,,,,yes,,,,,,,,,
integer,Q0_3_Team_leader_code,0.3 Team leader code:,0.3 ???? ??? ???? ??????:,,,,yes,,,,,,,,,
select_one gender,Q0_4_Gender_of_enumerator,0.4 Gender of enumerator:,0.4 ??? ???? ????????:,(Select one),(???? ?????),,yes,,,,,,,,,
select_one Governorate,Q0_5_Governorate,0.5 Which governorate is the household in:,0.5 ?? ?? ???????? ???? ????? ????? ??????:,(Select one),(???? ?????),,yes,,,,,,,,,
select_one_external District,Q0_6_District,0.6 District:,0.6 ??????? :,(Select one),(???? ?????),,yes,,,,,,,,Governorate=${Q0_5_Governorate},
select_one_external Sub_district,Q0_7_Sub_district,0.7 Sub-district:,0.7 ??????? ???????:,(Select one),(???? ?????),,yes,,,,,,,,District=${Q0_6_District},
select_one_external Village,Q0_8_Nearest_community_neighborhood,0.8 Nearest community/neighborhood:,0.8 ??????/ ???????:,(Select one),(???? ?????),,yes,,,,,,,,Sub_district=${Q0_7_Sub_district},
text,Q0_8_Other_Village,0.8 Other village:,0.8 ???? ????:,(please specify),(?????? ???????),,yes,,,,,"selected(${Q0_8_Nearest_community_neighborhood},""other"")",,,,
text,Q0_9_Camp_site_name,0.9 Camp/site name:,0.9 ??? ??????/ ?????? :,(Select one),(???? ?????),,yes,,,,,,,,,
select_one q0010R,Q0_10_What_type_of_site_is_this,0.10 What type of site is this?,0.10 ???? ??? ???????,(Select one),(???? ?????),,yes,,,,,,,,,
text,Q0_10_Other,0.10 Other (specify),0.10 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q0_10_What_type_of_site_is_this},'Other')",,,,
select_one q0011R,Q0_11_Is_it_a_formal_or_informal_site,0.11 Is it a formal or informal site?,0.11 ?? ?? ???? ???? ?? ??? ?????,"(Formal: managed by an official authority with some form of registration process
Informal: IDPs settled here themselves, no registration or formal management)","(????: ???? ?? ??? ???? ????? ?? ??? ??? ?? ????? ????? ???????
??? ????: ????? ??????? ???????? ?????? ??? ?????? ? ???? ????? ?? ????? ?????)",,yes,,,,,,,,,
text,Q0_11_Other,0.11 Other (specify),0.11 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q0_11_Is_it_a_formal_or_informal_site},'Other')",,,,
end group,G0_Metadata,,,,,,,,,,,,,,,
begin group,G1_Household_Profile,1. Household Profile,1.????????? ???????,,,,,,,,,,,,,
integer,Q1_1_What_is_the_age_of_the_interviewee,1.1 What is the age of the interviewee?,1.1 ???? ??? ????? ???? ???????,(Numbers),(????????),numbers,yes,,,,,,,,,
select_one yes_no,Q1_1_1_There_is_a_member_of_the_household_over_the_age_of_17_that_is_available_to_participate_in_the_assessment,1.1.1 There is a member of the household over the age of 17 that is available to participate in the assessment?,1.1.1 ?? ???? ??? ?? ????? ?????? ???? ???? ?? 17 ????? ???? ???????? ?? ????????,(Select one),(???? ?????),,yes,,,,,${Q1_1_What_is_the_age_of_the_interviewee}<18,,,,
select_one yes_no,Q1_2_Are_you_willing_to_respond_to_this_household_visit,"1.2 'Hello. My name is ____, and I am working with [NGO NAME]. We are doing an assessment to understand your needs with regard to water, sanitation and hygiene. The interview takes about 30 minutes to complete. The information you provide will be summarised with all other respondents, and it will help to produce reports that will be used for humanitarian planning. Any information you provide that may be used to identify your household will be kept confidential. Are you willing to respond to this household visit?","1.2 ??????. ???? _______? ???? ???? ?? ????? (??? ???????). ???? ?????? ????? ???? ????????? ???????? ??????? ?????? ????? ????????. ?????? ???????? ????? 30 ?????. ?? ????????? ???? ?????? ??? ??? ??????? ?? ???? ?????????? ???????? ???? ??????? ?? ????? ???????? ??? ???? ????????? ??????? ????????. ?? ??? ?????? ?????? ?????? ????? ??? ???? ????.  ?? ???????? ?? ??? ???????? ?????. ??? ??? ???? ???? ??? ????? ????? ????. ?? ????? ??? ???????? ?? ??? ?????????",(Select one),(???? ?????),,yes,,,,,"selected(${Q1_1_1_There_is_a_member_of_the_household_over_the_age_of_17_that_is_available_to_participate_in_the_assessment},'Yes') or (${Q1_1_What_is_the_age_of_the_interviewee}>=18)",,,,
select_one q010201R,Q1_2_1_Why_are_you_not_willing_to_respond_to_this_household_visit,1.2.1 Why are you not willing to respond to this household visit?,1.2.1 ????? ?????? ?? ??????? ??? ??? ??????? ?????????,(Select one),(???? ?????),,yes,,,,,"selected(${Q1_2_Are_you_willing_to_respond_to_this_household_visit},'No')",,,,
text,Q1_2_1_Other,1.2.1 Other (specify),1.2.1 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q1_2_1_Why_are_you_not_willing_to_respond_to_this_household_visit},'Other')",,,,
begin group,G1_2,,,,,,,,,,,"selected(${Q1_2_Are_you_willing_to_respond_to_this_household_visit},'Yes')",,,,
integer,Q1_3_How_many_individuals_live_in_this_household_including_yourself,1.3 How many individuals live in this household (including yourself)?,1.3 ?? ??? ??????? ????? ?????? ?? ??? ?????? (??? ?? ??? ???)?,(Numbers),(????????),numbers,yes,,,,,,,,,
begin group,Q1_4,,,,,field-list,,,,,,,,,,
