S.N.,"Governorate
????????","Sub District
???????",Community/Nearest Community,"PCODE
Admin4","Cluster 
?????? / ???????? ","Site Name
??? ??????",PCODE.Sites,Surveys,Type.of.Settlement,Households,Population,Primary.Method.for.Data.Collection,Organisation.Name
413,Aleppo/???,Atareb/?????,Oweijel,C1024,,Alfurkan,,5,collective_centre,726,4356,paper forms,archenova 
76,Aleppo/???,Al Bab/?????,Ma'arrat Tamasrin,C3947,,Al-Baol Camp,,63,collective_centre,336,2014,paper forms,archenova 
310,Aleppo/???,Jarablus/??????,Oweijel,C1024,,Zoghra,,5,,252,1510,paper forms,archenova 
305,Aleppo/???,Jarablus/??????,Ma'arrat Tamasrin,C3947,,Jarablus 4 (Jbel)/ ?????? ??? 4 (???),,3,,200,1200,paper forms,archenova 
300,Aleppo/???,Jarablus/??????,Batenta,C3939,,Al-Jabal,,1,,123,737,paper forms,archenova 
54,Aleppo/???,Al Bab/?????,Kaftin,C3951,,Al Bab,,3,,118,710,paper forms,archenova 
308,Aleppo/???,Jarablus/??????,Maaret Elekhwan,C3950,Maaret Tamsrin,Nour Camp (north of Marma Elhajar),CP000528,2,formal_camp,115,687,paper forms,archenova 
69,Aleppo/???,Al Bab/?????,Batenta,C3939,,Reciption center in Albab,,2,,67,400,paper forms,archenova 
303,Aleppo/???,Jarablus/??????,Zardana mashehad,C3938,,Camp 5/ ?????? ??? 5,,1,,63,379,paper forms,archenova 
1426,Idleb/????,Badama/?????,Kaftin,C3951,,Ein Al Bayda/ ??? ??????? ,,1,,62,372,paper forms,archenova 
1432,Idleb/????,Badama/?????,Kafr - Kafrehmul,C3942,,Salah Alden (Kherbet Eljoz)/ ???? ?????,,2,,41,245,paper forms,archenova 
1425,Idleb/????,Badama/?????,Atma,C4130,Atma,Ataa Al Kheir/ ???? ?????,CP000059,5,informal_settlement,278,1670,KoBo,Global Communities
443,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,Dayer Samaan collections,CP000059,5,informal_settlement,250,1499,KoBo,Global Communities
209,Aleppo/???,Azaz/?????,Sarmada,C4121,Sarmada,Bab Al Noor/ ??? ?????,CP000445,5,informal_settlement,233,1395,Kobo,Global Communities
472,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,Athar Association,CP000059,5,informal_settlement,205,1231,KoBo,Global Communities
410,Aleppo/???,Atareb/?????,Sarmada,C4121,Sarmada,Collection of Maaret Alatareb,CP000453,5,informal_settlement,181,1085,Kobo,Global Communities
478,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,Kasr Alheer Association,CP000059,5,informal_settlement,174,1041,KoBo,Global Communities
468,Aleppo/???,Daret Azza/???? ???,Sarmada,C4121,Sarmada,Alkahraba Association,CP000279,5,informal_settlement,128,765,Kobo,Global Communities
471,Aleppo/???,Daret Azza/???? ???,Termanin,C4125,,Almukawelon Association,,14,collective_centre,124,741,Kobo,Global Communities
467,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,AlEtihad Alarabee Association,CP000059,5,informal_settlement,98,587,KoBo,Global Communities
484,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,Alhadi Association,CP000059,5,informal_settlement,84,505,KoBo,Global Communities
328,Aleppo/???,Atareb/?????,Atma,C4130,Atma,Shelter Centers Alatareb,CP000059,5,informal_settlement,66,396,KoBo,Global Communities
489,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,Migbeena unfinished Houses,CP000059,5,informal_settlement,65,390,KoBo,Global Communities
488,Aleppo/???,Daret Azza/???? ???,Termanin,C4125,Termanin,Almawared Association in Bimigbeena,CP000496,2,collective_centre,13,75,Kobo,Global Communities
476,Aleppo/???,Daret Azza/???? ???,Suran (Al Bab),C1197,,Kareem Association,,34,,2500,15000,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
469,Aleppo/???,Daret Azza/???? ???,Zoghra,C2220,Jarablus,Almakhabez Association,,26,,1716,6738,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
473,Aleppo/???,Daret Azza/???? ???,Jarablus,C2227,Jarablus,Gardeenya Association,CP000017,10,informal_settlement,1312,7870,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
337,Aleppo/???,Atareb/?????,Jarablus,C2227,Jarablus,Alkamouna Camp,,5,,1247,7875,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
492,Aleppo/???,Daret Azza/???? ???,Al Bab,C1202,,Talas Association,,11,,1100,6600,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
408,Aleppo/???,Atareb/?????,Marma Elhajar,C2238,,Second Reif Al-Muhandiseen,,10,,863,4919,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
483,Aleppo/???,Daret Azza/???? ???,Qabasin,C1209,,Albashayer Beedeh,,63,collective_centre,766,4594,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
529,Aleppo/???,Zarbah/??????,Jarablus,C2227,Jarablus,Metcarlo Farms,CP000011,7,informal_settlement,644,3865,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
344,Aleppo/???,Atareb/?????,Lower Jrables,C2226,,Burg Alnumra Camp,,9,,459,2754,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
465,Aleppo/???,Daret Azza/???? ???,Al Bab,C1202,Al Bab,Albashayer Association,CP000457,9,informal_settlement,443,2660,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
464,Aleppo/???,Daret Azza/???? ???,Al Bab,C1202,,Albasel Association,,8,,332,1879,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
1362,Idleb/????,Idleb/????,Atma,C4130,Karama,Idleb,CP000142,5,informal_settlement,316,1895,primary method for data collection paper forms,Insani Yardimmlasma Dernegi – IYD
125,Aleppo/???,Azaz/?????,Jarablus,C2227,Jarablus,Al Mokawama,,1,,285,1245,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
